Caption,Name,Description,InstallSource
icecap_collectionresources,icecap_collectionresources,icecap_collectionresources,C:\Windows\Installer\1db53bf.msi
Накопительный пакет обновления Microsoft .NET Framework Intellisense для Visual Studio (Русский),Накопительный пакет обновления Microsoft .NET Framework Intellisense для Visual Studio (Русский),Накопительный пакет обновления Microsoft .NET Framework Intellisense для Visual Studio (Русский),C:\Windows\Installer\1c4b15b.msi
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300,Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300,Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300,C:\Windows\Installer\1cfeaf8.msi
7-Zip 19.00 (x64 edition),7-Zip 19.00 (x64 edition),7-Zip 19.00 (x64 edition),C:\Windows\Installer\2dab.msi
vs_communitysharedmsi,vs_communitysharedmsi,vs_communitysharedmsi,C:\Windows\Installer\1bb9693.msi
Microsoft .NET AppHost Pack - 6.0.7 (x64_x86),Microsoft .NET AppHost Pack - 6.0.7 (x64_x86),Microsoft .NET AppHost Pack - 6.0.7 (x64_x86),C:\Windows\Installer\1c4b1e4.msi
Microsoft .NET Framework 4.7.1 Targeting Pack,Microsoft .NET Framework 4.7.1 Targeting Pack,Microsoft .NET Framework 4.7.1 Targeting Pack,C:\Windows\Installer\1db53f6.msi
Microsoft .NET Framework 4.6.2 Targeting Pack,Microsoft .NET Framework 4.6.2 Targeting Pack,Microsoft .NET Framework 4.6.2 Targeting Pack,C:\Windows\Installer\1db53e2.msi
ClickOnce Bootstrapper Package for Microsoft .NET Framework,ClickOnce Bootstrapper Package for Microsoft .NET Framework,ClickOnce Bootstrapper Package for Microsoft .NET Framework,C:\Windows\Installer\1c4b199.msi
Microsoft .NET Runtime - 6.0.7 (x86),Microsoft .NET Runtime - 6.0.7 (x86),Microsoft .NET Runtime - 6.0.7 (x86),C:\Windows\Installer\1c4b1e9.msi
